aquifer_ID,gw_type,recharge,sss
"1",Ind,"7.00",7.000
"2",Ind,"7.50",7.500
"3",Ind,"3.00",3.000
"4",Ind,"10.00",10.000
"5",Ind,"1.00",1.000
"6",Ind,"5.00",5.000
"7",Ind,"5.00",5.000
"8",Aq,"29.00",29.000
"9",Aq,"24.80",24.800
"10",Aq,"13.30",13.300
"11",Ind,"22.30",22.300
"12",Ind,"27.00",27.000
"13",Aq,"30.00",30.000
"14",Ind,"5.00",5.000
"15",Aq,"31.00",31.000
"16",Ind,"5.00",5.000
"17",Aq,"19.30",19.300
"18",Aq,"14.60",14.600
"19",Aq,"44.60",44.600
"20",Aq,"13.80",13.800
"21",Aq,"11.70",11.700
"22",Ind,"14.90",14.900
"23",Aq,"38.30",38.300
"24",Aq,"11.20",11.200
"25",Aq,"13.90",13.900
"26",Aq,"22.50",22.500
"27",Aq,"20.20",20.200
"28",Aq,"62.00",62.000
"29",Aq,"61.00",61.000
"30",Aq,"26.00",26.000
"31",Aq,"31.00",31.000
"32",Aq,"36.00",36.000
"33",Ind,"9.00",9.000
"34",Ind,"16.00",16.000
"35",Aq,"48.00",48.000
"36",Aq,"46.00",46.000
"37",Aq,"25.00",25.000
"38",Aq,"48.00",48.000
"39",Ind,"6.30",6.300
"40",Ind,"5.40",5.400
"41",Ind,"5.20",5.200
"42",Ind,"5.00",5.000
"43",Ind,"23.00",23.000
"44",Aq,"18.00",18.000
"45",Aq,"26.00",26.000
"46",Aq,"33.00",33.000
"47",Aq,"25.00",25.000
"48",Aq,"50.00",50.000
"49",Aq,"38.00",38.000
"50",Ind,"20.00",20.000
"51",Aq,"10.80",10.800
"52",Ind,"7.50",7.500
"53",Ind,"7.50",7.500
"54",Ind,"7.50",7.500
"55",Aq,"38.00",38.000
"56",Aq,"15.60",15.600
"57",Ind,"5.00",5.000
"58",Ind,"10.00",10.000
"59",Aq,"20.00",20.000
"60",Ind,"20.00",20.000
"61",Ind,"10.00",10.000
"62",Aq,"50.00",50.000
"63",Aq,"28.00",28.000
"64",Aq,"10.00",10.000
"65",Aq,"45.00",45.000
"66",Aq,"50.00",50.000
"67",Aq,"50.00",50.000
"68",Aq,"40.00",40.000
"69",Aq,"25.00",25.000
"70",Aq,"20.00",20.000
"71",Aq,"50.00",50.000
"72",Aq,"25.00",25.000
"73",Ind,"7.00",7.000
"74",Aq,"19.00",19.000
"75",Aq,"48.60",48.600
"76",Aq,"50.00",50.000
"77",Aq,"35.00",35.000
"78",Aq,"40.00",40.000
"79",Ind,"5.00",5.000
"80",Aq,"16.00",16.000
"81",Aq,"58.00",58.000
"82",Aq,"16.20",16.200
"83",Aq,"18.00",18.000
"84",Aq,"26.00",26.000
"85",Ind,"9.00",9.000
"86",Aq,"50.00",50.000
"87",Aq,"41.00",41.000
"88",Aq,"38.40",38.400
"89",Ind,"17.60",17.600
"90",Aq,"27.30",27.300
"91",Ind,"16.50",16.500
"92",Aq,"28.00",28.000
"93",Ind,"5.50",5.500
