aquifer_ID,leaching_gw,drainage,nloading,gw_type,recharge
1,71021577893.7945,7337632168.23125,9.67909,Ind,7
2,35616190319.2573,1381773353.61432,25.77571,Ind,7.5
3,1797547905084.89,81813267446.8595,21.97135,Ind,3
4,2961575246.67776,266695494.533617,11.10471,Ind,10
5,152150410583.728,1732298919.62353,87.8315,Ind,1
6,224694254044.685,6345209139.62465,35.41164,Ind,5
7,337527831427.77,10456122006.9817,32.2804,Ind,5
8,21830417064.2082,3506984347.42658,6.22484,Aq,29
9,18686288350.9536,868895288.002828,21.5058,Aq,24.8
11,8160578711.21596,3299762310.54983,2.47308,Ind,22.3
12,161030252682.657,103785136516.833,1.55157,Ind,27
13,183272098375.322,83668484364.1709,2.19046,Aq,30
14,18433632218.1698,2077131325.61919,8.87456,Ind,5
15,29270764884.2813,1117016578.33771,26.20441,Aq,31.0237849
16,41562988581.8903,2792912021.64186,14.8816,Ind,5
17,18728422703.7131,5564766607.55313,3.36554,Aq,19.348659
18,38390791934.8224,3036398737.78386,12.64353,Aq,14.6
19,4361852926.85709,851400160.31715,5.12315,Aq,44.55958549
20,63692188859.6389,3342862941.11333,19.05319,Aq,13.8
21,31109675357.2951,9522744035.45356,3.26688,Aq,11.7
22,9877519692.53635,5095142895.97697,1.93861,Ind,14.94522692
23,17608251325.4801,16696696350.1567,1.05459,Aq,38.3
24,19343186768.299,4029793670.48625,4.80004,Aq,11.24
25,31271778593.2655,3882278139.17578,8.05501,Aq,13.94052045
26,11290763377.2584,1494495622.65311,7.5549,Aq,22.5
27,22016256724.386,16780396521.1142,1.31202,Aq,20.23411371
28,1448214398.63383,1896113354.72102,0.76378,Aq,62
29,179088865439.276,34972852812.5523,5.1208,Aq,61
30,14070019774.66,9083974856.21835,1.54888,Aq,26
31,2943944804.27938,296027142.909713,9.94485,Aq,31
32,51604321758.3351,34301829714.2833,1.50442,Aq,36
33,180443665335.285,9424902301.78892,19.14541,Ind,9
34,441706748852.825,35249047425.2767,12.53103,Ind,16
35,52156644274.3489,9297139810.77402,5.60997,Aq,48
36,861846173.975903,85260056.0944925,10.10844,Aq,46
37,16963503390.7821,4601420847.52499,3.68658,Aq,25
38,66496929645.5006,10173536642.7182,6.53626,Aq,48
39,457803939884.552,120876909726.28,3.78736,Ind,6.3
40,1327070016138.99,147870382147.558,8.97455,Ind,5.4
41,423878484181.71,40362383605.7519,10.50182,Ind,5.2
42,707687905560.185,63289068992.1153,11.18183,Ind,5
43,79551746807.7776,66089437621.2308,1.2037,Ind,23
44,422093678992.906,56849839020.1228,7.42471,Aq,18
45,470282176181.218,363096689159.324,1.2952,Aq,26
46,153680588308.265,89873650998.7791,1.70996,Aq,33
47,9967439769.94691,2336183599.90794,4.26655,Aq,25
48,1216862167.77356,3296180533.86471,0.36917,Aq,50
50,743585933.405023,320837200.129144,2.31764,Ind,20
51,37068103387.8801,427496536.01061,86.70972,Aq,10.75268817
52,31159145245.893,1138546878.8564,27.36747,Ind,7.5
53,184141080199.482,12292216634.8442,14.9803,Ind,7.5
54,129089394838.193,15648125797.3747,8.24951,Ind,7.5
55,80063830946.1535,22848260074.1517,3.50415,Aq,38
56,2115687024.72933,2626726203.29328,0.80545,Aq,15.6
57,38105201572.3292,1335842053.04846,28.52523,Ind,5
58,16295226208.1701,3184836306.41329,5.1165,Ind,10
59,191724122951.35,32267227826.9658,5.94176,Aq,20
60,15464165383.635,3072716265.73442,5.03273,Ind,20
61,132561292149.376,8571710742.20011,15.46497,Ind,10
62,1274861310.42303,2716428966.07171,0.46932,Aq,50
63,16806267155.5547,769658903.436478,21.83599,Aq,28
64,60763372871.3248,5516810521.31615,11.01422,Aq,10
65,119484089270.294,35299740338.3733,3.38484,Aq,45
66,6594366771.37185,8402765025.4515,0.78479,Aq,50
67,2544452002.69926,2300961683.26228,1.10582,Aq,50
68,16927255225.8708,4522873050.63005,3.74259,Aq,40
69,1528707749.56517,419838596.708067,3.64118,Aq,25
70,58976775598.6484,4796799446.04542,12.29503,Aq,20
71,1862314998.53163,319258866.096622,5.83324,Aq,50
72,8302132184.8336,2569127371.31828,3.2315,Aq,25
73,4614011258.508,507137013.460172,9.09816,Ind,7
74,56155056489.9879,1853964117.6076,30.28918,Aq,19
75,12371655498.0194,4736520136.28238,2.61197,Aq,48.6
76,10201016877.3149,2162837702.0584,4.7165,Aq,50
77,7983050114.95816,3320236241.35416,2.40436,Aq,35
78,4228670285.47194,1556696058.73174,2.71644,Aq,40
79,204213890.31499,36568260.4846282,5.58446,Ind,5
80,8805023595.34285,664742776.28316,13.24576,Aq,16
81,180096162.574351,54826952.381271,3.28481,Aq,58
82,20492082092.8758,3493383505.6951,5.86597,Aq,16.2
83,20250878075.7685,1513512994.39011,13.38005,Aq,18
84,18415414763.6501,3284757862.7651,5.60632,Aq,26
85,1226417566845.41,293274849323.842,4.1818,Ind,9
86,469020139.373872,59421982.6741749,7.89304,Aq,50
87,498272609.20159,128142317.133329,3.88843,Aq,41
88,1660391039.34356,1483917602.71511,1.11892,Aq,38.4
89,24921073092.1038,728316202.839325,34.21738,Ind,17.64705882
90,32565427169.6713,9146897395.32671,3.56027,Aq,27.3
91,46020964551.3021,3870895209.75407,11.88897,Ind,16.53992395
92,6896242259.22655,1377822137.13216,5.00518,Aq,28
93,124558440481.83,15887640490.7219,7.83996,Ind,5.5
